AT1030;84030;8050;120;130;6960
AT1030;84030;8050;104;530;5160
AT1030;84030;8050;105;130;1200
AT1030;84030;8050;107;740;3450
AT1030;84031;8040;104;920;10440
AT1030;84031;8040;107;810;3800
AT1030;84031;8040;110;550;30000
AT1030;88112;8040;110;530;28800
AT1030;88112;8040;119;690;39060
AT1030;88112;8040;120;150;8700
AT1030;88112;8040;116;810;4560
AT1030;88112;8040;111;640;11800
1030SE6;88112;8040;110;570;31800
1030SE6;88112;8040;109;260;7280
1030SE6;85442;8050;107;270;1350
1030SE6;85442;8050;103;670;7560
1030SE6;85442;8050;104;470;5280
1030SE6;85442;8050;120;530;29000
1030SE6;85442;8050;119;360;22320
1030SE6;85442;8050;115;840;4860
1030SE6;85442;8050;108;830;22400
1030SE6;88588;8040;120;500;27260
